NR;SYMBOL;ISIN;Company Common Name; Company Market Capitalization ;TRBC Economic Sector Name;TRBC Economic Sector Code;Country ISO Code of Headquarters;Ccy
970;KNIN.S;CH0025238863;Kuehne und Nagel International AG; 15’406’970’836.30 ;Industrials;52;CH;CHF
971;BKT.MC;ES0113679I37;Bankinter SA; 5’230’591’343.97 ;Financials;55;ES;EUR
972;ALSO.PA;FR0010220475;Alstom SA; 7’862’206’107.03 ;Industrials;52;FR;EUR
973;HKLD.SI;BMG4587L1090;Hongkong Land Holdings Ltd; 14’703’746’904.00 ;Real Estate;60;BM;USD
974;AOS.N;US8318652091;A O Smith Corp; 7’256’905’436.90 ;Industrials;52;US;USD
975;SCOR.PA;FR0010411983;Scor SE; 8’667’336’419.63 ;Financials;55;FR;EUR
976;ALNY.OQ;US02043Q1076;Alnylam Pharmaceuticals Inc; 7’376’815’580.37 ;Healthcare;56;US;USD
977;6841.T;JP3955000009;Yokogawa Electric Corp; 4’631’373’059.22 ;Industrials;52;JP;JPY
978;CPRI.N;VGG1890L1076;Capri Holdings Ltd; 5’624’047’768.32 ;Consumer Cyclicals;53;GB;USD
979;BG.N;CH1300646267;Bunge Global SA; 7’539’746’567.68 ;Consumer Non-Cyclicals;54;US;USD
980;9532.T;JP3180400008;Osaka Gas Co Ltd; 7’592’146’925.45 ;Utilities;59;JP;JPY
981;2784.T;JP3126340003;Alfresa Holdings Corp; 5’974’554’079.45 ;Healthcare;56;JP;JPY
982;SABR.OQ;US78573M1045;Sabre Corp; 5’957’768’883.80 ;Technology;57;US;USD
983;RHC.AX;AU000000RHC8;Ramsay Health Care Ltd; 8’223’475’073.28 ;Healthcare;56;AU;AUD
984;CPB.OQ;US1344291091;Campbell's Co; 9’930’947’501.76 ;Consumer Non-Cyclicals;54;US;USD
985;ORI.AX;AU000000ORI1;Orica Ltd; 4’619’906’079.77 ;Basic Materials;51;AU;AUD
986;9962.T;JP3885400006;Misumi Group Inc; 5’964’194’098.88 ;Industrials;52;JP;JPY
987;LISN.S;CH0010570759;Chocoladefabriken Lindt & Spruengli AG; 16’781’855’299.26 ;Consumer Non-Cyclicals;54;CH;CHF
988;BLND.L;GB0001367019;British Land Company PLC; 6’529’839’520.53 ;Real Estate;60;GB;GBp
989;MGR.AX;AU000000MGR9;Mirvac Group; 5’776’199’812.55 ;Real Estate;60;AU;AUD
990;ARMK.N;US03852U1060;Aramark; 5’173’684’709.06 ;Consumer Cyclicals;53;US;USD
991;EWBC.OQ;US27579R1041;East West Bancorp Inc; 6’310’081’289.04 ;Financials;55;US;USD
992;GIL.TO;CA3759161035;Gildan Activewear Inc; 6’324’662’596.29 ;Consumer Cyclicals;53;CA;CAD
993;1997.HK;KYG9593A1040;Wharf Real Estate Investment Company Ltd; 18’163’474’464.66 ;Real Estate;60;HK;HKD
994;WAB.N;US9297401088;Westinghouse Air Brake Technologies Corp; 6’787’199’956.50 ;Industrials;52;US;USD
995;INVH.N;US46187W1071;Invitation Homes Inc; 10’454’611’378.16 ;Real Estate;60;US;USD
996;SEIC.OQ;US7841171033;SEI Investments Co; 7’097’890’800.00 ;Financials;55;US;USD
997;SHL.AX;AU000000SHL7;Sonic Healthcare Ltd; 7’121’450’116.44 ;Healthcare;56;AU;AUD
998;SHLG.DE;DE000SHL1006;Siemens Healthineers AG; 41’792’939’400.52 ;Healthcare;56;DE;EUR
999;MAERSKb.CO;DK0010244508;AP Moeller - Maersk A/S; 21’161’273’819.51 ;Industrials;52;DK;DKK
1000;CAPD.SI;SG1M77906915;CapitaLand Ascendas REIT; 5’866’365’672.15 ;Real Estate;60;SG;SGD
1001;FWONK.OQ;US5312297550;Formula One Group; 6’819’596’053.16 ;Consumer Cyclicals;53;US;USD
1002;VLOF.PA;FR0013176526;Valeo SE; 7’029’150’129.60 ;Consumer Cyclicals;53;FR;EUR
1003;KPLM.SI;SG1U68934629;Keppel Ltd; 5’009’928’835.72 ;Consumer Non-Cyclicals;54;SG;SGD
1004;STMN.S;CH1175448666;Straumann Holding AG; 9’971’763’146.02 ;Healthcare;56;CH;CHF
1005;POLI.TA;IL0006625771;Bank Hapoalim BM; 8’267’032’854.69 ;Financials;55;IL;ILa
1006;BALN.S;CH0012410517;Baloise Holding AG; 6’714’277’004.37 ;Financials;55;CH;CHF
1007;VCX.AX;AU000000VCX7;Vicinity Centres; 7’030’701’388.79 ;Real Estate;60;AU;AUD
1008;SABE.MC;ES0113860A34;Banco de Sabadell SA; 6’456’763’804.35 ;Financials;55;ES;EUR
1009;GBLB.BR;BE0003797140;Groep Brussel Lambert NV; 14’079’432’143.96 ;Financials;55;BE;EUR
1010;SAP.TO;CA8029121057;Saputo Inc; 11’172’596’576.15 ;Consumer Non-Cyclicals;54;CA;CAD
1011;SJP.L;GB0007669376;St James's Place PLC; 6’376’097’105.48 ;Financials;55;GB;GBp
1012;ITV.L;GB0033986497;ITV PLC; 6’411’342’780.41 ;Consumer Cyclicals;53;GB;GBp
1013;6963.T;JP3982800009;Rohm Co Ltd; 7’100’018’138.94 ;Technology;57;JP;JPY
1014;0008.HK;HK0008011667;PCCW Ltd; 4’271’167’463.65 ;Technology;57;HK;HKD
1015;STERV.HE;FI0009005961;Stora Enso Oyj; 9’289’908’051.39 ;Basic Materials;51;FI;EUR
1016;AIZ.N;US04621X1081;Assurant Inc; 5’550’103’946.40 ;Financials;55;US;USD
1017;BHC.TO;CA0717341071;Bausch Health Companies Inc; 6’476’036’253.02 ;Healthcare;56;CA;CAD
1018;TEL2b.ST;SE0005190238;Tele2 AB; 7’195’083’219.57 ;Technology;57;SE;SEK
1019;ATRL.TO;CA04764T1049;Atkinsrealis Group Inc; 5’911’455’050.11 ;Industrials;52;CA;CAD
1020;ALFA.ST;SE0000695876;Alfa Laval AB; 8’874’572’183.64 ;Industrials;52;SE;SEK
1021;SWR.L;IE00028FXN24;Smurfit WestRock PLC; NULL ;Basic Materials;51;IE;GBp
1022;KIM.N;US49446R1095;Kimco Realty Corp; 6’146’330’982.03 ;Real Estate;60;US;USD
1023;FOUG.PA;FR0000130452;Eiffage SA; 8’200’385’356.45 ;Industrials;52;FR;EUR
1024;7532.T;JP3639650005;Pan Pacific International Holdings Corp; 9’787’062’463.27 ;Consumer Cyclicals;53;JP;JPY
1025;EPIRa.ST;SE0015658109;Epiroc AB; 10’964’995’400.01 ;Industrials;52;SE;SEK
1026;TRIP.OQ;US8969452015;Tripadvisor Inc; 6’614’788’096.43 ;Consumer Cyclicals;53;US;USD
1027;AKE.PA;FR0010313833;Arkema SA; 6’575’154’932.29 ;Basic Materials;51;FR;EUR
1028;T.TO;CA87971M1032;Telus Corp; 19’865’027’996.99 ;Technology;57;CA;CAD
1029;MONC.MI;IT0004965148;Moncler SpA; 8’456’279’329.89 ;Consumer Cyclicals;53;IT;EUR
1030;RHI.N;US7703231032;Robert Half Inc; 6’948’371’830.40 ;Industrials;52;US;USD
1031;SGP.AX;AU000000SGP0;Stockland Corporation Ltd; 5’969’089’540.63 ;Real Estate;60;AU;AUD
1032;AMP.AX;AU000000AMP6;AMP Ltd; 4’740’170’826.31 ;Financials;55;AU;AUD
1033;TLIT.MI;IT0003497168;Telecom Italia SpA; 11’277’355’857.93 ;Technology;57;IT;EUR
1034;MKS.L;GB0031274896;Marks and Spencer Group PLC; 5’124’240’847.98 ;Consumer Non-Cyclicals;54;GB;GBp
1035;JMAT.L;GB00BZ4BQC70;Johnson Matthey PLC; 6’910’497’404.83 ;Basic Materials;51;GB;GBp
1036;TUI1n.DE;DE000TUAG505;TUI AG; 8’269’590’326.44 ;Consumer Cyclicals;53;DE;EUR
1037;FBIN.N;US34964C1062;Fortune Brands Innovations Inc; 4’590’907’497.73 ;Consumer Cyclicals;53;US;USD
1038;4151.T;JP3256000005;Kyowa Kirin Co Ltd; 10’859’390’021.18 ;Healthcare;56;JP;JPY
1039;AXTA.N;BMG0750C1082;Axalta Coating Systems Ltd; 5’590’708’906.68 ;Basic Materials;51;US;USD
1040;POW.TO;CA7392391016;Power Corporation of Canada; 7’501’826’963.80 ;Financials;55;CA;CAD
1041;2413.T;JP3435750009;M3 Inc; 8’661’751’249.77 ;Technology;57;JP;JPY
1042;8960.T;JP3045540006;United Urban Investment Corp; 4’715’906’107.38 ;Real Estate;60;JP;JPY
1043;AZJ.AX;AU000000AZJ1;Aurizon Holdings Ltd; 6’004’165’440.82 ;Industrials;52;AU;AUD
1044;MIDD.OQ;US5962781010;Middleby Corp; 5’737’127’587.26 ;Industrials;52;US;USD
1045;GFCP.PA;FR0010040865;Gecina SA; 9’883’934’989.45 ;Real Estate;60;FR;EUR
1046;8952.T;JP3027680002;Japan Real Estate Investment Corp; 7’738’884’092.15 ;Real Estate;60;JP;JPY
1047;GRMN.N;CH0114405324;Garmin Ltd; 11’955’412’347.76 ;Technology;57;CH;USD
1048;DEMANT.CO;DK0060738599;Demant A/S; 7’151’502’487.01 ;Healthcare;56;DK;DKK
1049;7202.T;JP3137200006;Isuzu Motors Ltd; 11’915’313’830.46 ;Consumer Cyclicals;53;JP;JPY
1050;TAH.AX;AU000000TAH8;Tabcorp Holdings Ltd; 1’159’933’359.24 ;Consumer Cyclicals;53;AU;AUD
1051;7701.T;JP3357200009;Shimadzu Corp; 5’837’626’278.78 ;Technology;57;JP;JPY
1052;SPSN.S;CH0008038389;Swiss Prime Site AG; 6’029’984’297.49 ;Real Estate;60;CH;CHF
1053;JEF.N;US47233W1099;Jefferies Financial Group Inc; 5’016’560’601.58 ;Financials;55;US;USD
1054;ORK.OL;NO0003733800;Orkla ASA; 7’958’132’053.68 ;Consumer Non-Cyclicals;54;NO;NOK
1055;9506.T;JP3605400005;Tohoku Electric Power Co Inc; 6’613’275’424.00 ;Utilities;59;JP;JPY
1056;INGR.N;US4571871023;Ingredion Inc; 6’462’329’513.60 ;Consumer Non-Cyclicals;54;US;USD
1057;JLL.N;US48020Q1076;Jones Lang LaSalle Inc; 5’768’726’116.20 ;Real Estate;60;US;USD
1058;4732.T;JP3944130008;USS Co Ltd; 5’253’031’471.07 ;Technology;57;JP;JPY
1059;ROL.N;US7757111049;Rollins Inc; 11’750’179’236.69 ;Industrials;52;US;USD
1060;BOL.ST;SE0020050417;Boliden AB; 5’249’627’703.29 ;Basic Materials;51;SE;SEK
1061;3659.T;JP3758190007;Nexon Co Ltd; 11’459’661’493.13 ;Technology;57;JP;JPY
1062;SBRY.L;GB00B019KW72;J Sainsbury PLC; 7’186’150’581.49 ;Consumer Non-Cyclicals;54;GB;GBp
1063;GWO.TO;CA39138C1068;Great-West Lifeco Inc; 20’424’320’361.78 ;Financials;55;CA;CAD
1064;4912.T;JP3965400009;Lion Corp; 6’158’097’545.98 ;Consumer Non-Cyclicals;54;JP;JPY
1065;CCK.N;US2283681060;Crown Holdings Inc; 5’619’855’242.19 ;Basic Materials;51;US;USD
1066;7731.T;JP3657400002;Nikon Corp; 5’944’467’946.99 ;Technology;57;JP;JPY
1067;ATM.NZ;NZATME0002S8;A2 Milk Company Ltd; 5’503’230’783.71 ;Consumer Non-Cyclicals;54;NZ;NZD
1068;4755.T;JP3967200001;Rakuten Group Inc; 9’575’969’439.51 ;Technology;57;JP;JPY
1069;4183.T;JP3888300005;Mitsui Chemicals Inc; 4’607’322’456.56 ;Basic Materials;51;JP;JPY
1070;6448.T;JP3830000000;Brother Industries Ltd; 3’878’847’128.88 ;Technology;57;JP;JPY
1071;WN.TO;CA9611485090;George Weston Ltd; 3’390’467’524.01 ;Consumer Non-Cyclicals;54;CA;CAD
1072;CCO.TO;CA13321L1085;Cameco Corp; 4’492’247’508.20 ;Energy;50;CA;CAD
1073;STEG.SI;SG1F60858221;Singapore Technologies Engineering Ltd; 7’996’997’312.34 ;Industrials;52;SG;SGD
1074;PRGO.N;IE00BGH1M568;Perrigo Company PLC; 5’264’441’080.00 ;Healthcare;56;IE;USD
1075;AER.N;NL0000687663;AerCap Holdings NV; 5’649’916’694.40 ;Financials;55;IE;USD
1076;6201.T;JP3634600005;Toyota Industries Corp; 15’041’981’295.12 ;Industrials;52;JP;JPY
1077;7951.T;JP3942600002;Yamaha Corp; 8’130’569’748.98 ;Consumer Cyclicals;53;JP;JPY
1078;BTRW.L;GB0000811801;Barratt Redrow PLC; 5’818’138’794.42 ;Consumer Cyclicals;53;GB;GBp
1079;BVI.PA;FR0006174348;Bureau Veritas SA; 9’020’770’254.15 ;Industrials;52;FR;EUR
1080;ORRON.ST;SE0000825820;Orron Energy AB; 8’407’322’667.06 ;Utilities;59;SE;SEK
1081;NKTR.OQ;US6402683063;Nektar Therapeutics; 5’689’311’345.75 ;Healthcare;56;US;USD
1082;SKAb.ST;SE0000113250;Skanska AB; 6’294’645’155.96 ;Industrials;52;SE;SEK
1083;7912.T;JP3493800001;Dai Nippon Printing Co Ltd; 6’754’762’150.93 ;Industrials;52;JP;JPY
1084;KINVb.ST;SE0022060521;Kinnevik AB; 3’043’961’199.62 ;Financials;55;SE;SEK
1085;BBWI.N;US0708301041;Bath & Body Works Inc; 5’707’759’062.03 ;Consumer Cyclicals;53;US;USD
1086;4536.T;JP3336000009;Santen Pharmaceutical Co Ltd; 5’855’833’256.34 ;Healthcare;56;JP;JPY
1087;2433.T;JP3766550002;Hakuhodo DY Holdings Inc; 5’555’982’398.88 ;Consumer Cyclicals;53;JP;JPY
1088;4005.T;JP3401400001;Sumitomo Chemical Co Ltd; 8’002’474’263.93 ;Basic Materials;51;JP;JPY
1089;MAC.N;US5543821012;Macerich Co; 6’104’680’715.34 ;Real Estate;60;US;USD
1090;3462.T;JP3048110005;Nomura Real Estate Master Fund Inc; 5’659’966’624.34 ;Real Estate;60;JP;JPY
1091;ANDR.VI;AT0000730007;Andritz AG; 4’771’656’965.11 ;Industrials;52;AT;EUR
1092;OVV.TO;US69047Q1022;Ovintiv Inc; 5’504’797’698.10 ;Energy;50;US;CAD
1093;CC.N;US1638511089;Chemours Co; 4’819’424’976.28 ;Basic Materials;51;US;USD
1094;AAL.OQ;US02376R1023;American Airlines Group Inc; 14’789’270’776.93 ;Industrials;52;US;USD
1095;EUFI.PA;FR0014000MR3;Eurofins Scientific SE; NULL ;Healthcare;56;LU;EUR
1096;ONC.OQ;US07725L1026;BeOne Medicines AG; 8’318’463’912.69 ;Healthcare;56;CH;USD
1097;GT.OQ;US3825501014;Goodyear Tire & Rubber Co; 4’755’735’038.86 ;Consumer Cyclicals;53;US;USD
1098;PROX.BR;BE0003810273;Proximus NV; 9’156’979’641.14 ;Technology;57;BE;EUR
1099;BKGH.L;GB00BP0RGD03;Berkeley Group Holdings PLC; 5’093’686’598.79 ;Consumer Cyclicals;53;GB;GBp
1100;UN0k.DE;DE000UNSE026;Uniper SE; 9’458’385’462.53 ;Utilities;59;DE;EUR
1101;TW.L;GB0008782301;Taylor Wimpey PLC; 5’335’071’991.33 ;Consumer Cyclicals;53;GB;GBp
1102;EMSN.S;CH0016440353;Ems Chemie Holding AG; 11’099’152’602.38 ;Basic Materials;51;CH;CHF
1103;CCLb.TO;CA1249003098;CCL Industries Inc; 6’529’448’804.72 ;Basic Materials;51;CA;CAD
1104;3405.T;JP3269600007;Kuraray Co Ltd; 4’988’559’628.61 ;Basic Materials;51;JP;JPY
1105;LBTYA.OQ;BMG611881019;Liberty Global Ltd; 8’295’670’841.70 ;Technology;57;BM;USD
1106;FM.TO;CA3359341052;First Quantum Minerals Ltd; 5’581’045’565.45 ;Basic Materials;51;CA;CAD
1107;AUTOA.L;GB00BVYVFW23;Auto Trader Group PLC; 5’444’001’005.40 ;Technology;57;GB;GBp
1108;1038.HK;BMG2178K1009;CK Infrastructure Holdings Ltd; 20’070’879’051.34 ;Utilities;59;HK;HKD
1109;ADP.PA;FR0010340141;Aeroports de Paris SA; 18’783’810’018.12 ;Industrials;52;FR;EUR
1110;W.N;US94419L1017;Wayfair Inc; 8’174’542’276.64 ;Consumer Cyclicals;53;US;USD
1111;9508.T;JP3246400000;Kyushu Electric Power Co Inc; 5’629’482’966.25 ;Utilities;59;JP;JPY
1112;ALV.N;US0528001094;Autoliv Inc; 6’120’159’639.60 ;Consumer Cyclicals;53;SE;USD
1113;7453.T;JP3976300008;Ryohin Keikaku Co Ltd; 6’761’027’571.20 ;Consumer Cyclicals;53;JP;JPY
1114;FPH.NZ;NZFAPE0001S2;Fisher & Paykel Healthcare Corporation Ltd; 5’008’708’801.96 ;Healthcare;56;NZ;NZD
1115;9602.T;JP3598600009;Toho Co Ltd (Tokyo); 6’821’900’229.82 ;Consumer Cyclicals;53;JP;JPY
1116;9008.T;JP3277800003;Keio Corp; 7’450’025’428.08 ;Industrials;52;JP;JPY
1117;OC.N;US6907421019;Owens Corning; 4’807’883’000.82 ;Consumer Cyclicals;53;US;USD
1118;H.TO;CA4488112083;Hydro One Ltd; 8’848’441’277.04 ;Utilities;59;CA;CAD
1119;CPRI.MI;NL0015435975;Davide Campari Milano NV; 9’810’294’706.27 ;Consumer Non-Cyclicals;54;IT;EUR
1120;CAE.TO;CA1247651088;CAE Inc; 4’899’640’569.78 ;Industrials;52;CA;CAD
1121;MPL.AX;AU000000MPL3;Medibank Private Ltd; 4’953’903’683.81 ;Financials;55;AU;AUD
1122;UTHR.OQ;US91307C1027;United Therapeutics Corp; 4’746’643’684.20 ;Healthcare;56;US;USD
1123;6823.HK;HK0000093390;HKT Trust and HKT Ltd; 10’905’861’396.61 ;Technology;57;HK;HKD
1124;9048.T;JP3649800004;Nagoya Railroad Co Ltd; 5’033’166’262.72 ;Industrials;52;JP;JPY
1125;4704.T;JP3637300009;Trend Micro Inc; 7’599’648’865.23 ;Technology;57;JP;JPY
1126;9504.T;JP3522200009;Chugoku Electric Power Co Inc; 4’805’613’185.67 ;Utilities;59;JP;JPY
1127;SEE.N;US81211K1007;Sealed Air Corp; 5’467’271’320.16 ;Basic Materials;51;US;USD
1128;HP.N;US4234521015;Helmerich and Payne Inc; 5’015’226’458.54 ;Energy;50;US;USD
1129;PRY.MI;IT0004176001;Prysmian SpA; 5’173’191’027.32 ;Industrials;52;IT;EUR
1130;4684.T;JP3173400007;Obic Co Ltd; 7’669’181’933.61 ;Technology;57;JP;JPY
1131;SPK.NZ;NZTELE0001S4;Spark New Zealand Ltd; 5’080’896’374.52 ;Technology;57;NZ;NZD
1132;G1AG.DE;DE0006602006;GEA Group AG; 4’644’252’678.89 ;Industrials;52;DE;EUR
1133;IPN.PA;FR0010259150;Ipsen SA; 10’845’223’581.06 ;Healthcare;56;FR;EUR
1134;KNX.N;US4990491049;Knight-Swift Transportation Holdings Inc; 4’375’706’393.15 ;Industrials;52;US;USD
1135;PST.MI;IT0003796171;Poste Italiane SpA; 10’431’792’413.34 ;Industrials;52;IT;EUR
1136;4204.T;JP3419400001;Sekisui Chemical Co Ltd; 7’285’319’987.62 ;Consumer Cyclicals;53;JP;JPY
1137;4922.T;JP3283650004;Kose Corp; 9’485’101’194.09 ;Consumer Non-Cyclicals;54;JP;JPY
1138;ADML.L;GB00B02J6398;Admiral Group PLC; 6’509’824’050.06 ;Financials;55;GB;GBp
1139;AMG.N;US0082521081;Affiliated Managers Group Inc; 5’132’445’914.40 ;Financials;55;US;USD
1140;AYI.N;US00508Y1029;Acuity Inc; 4’608’241’700.15 ;Consumer Cyclicals;53;US;USD
1141;6724.T;JP3414750004;Seiko Epson Corp; 5’610’689’609.50 ;Technology;57;JP;JPY
1142;6770.T;JP3126400005;Alps Alpine Co Ltd; 3’837’967’201.25 ;Technology;57;JP;JPY
1143;6479.T;JP3906000009;Minebea Mitsumi Inc; 6’158’699’107.02 ;Technology;57;JP;JPY
1144;SECUb.ST;SE0000163594;Securitas AB; 5’521’217’010.74 ;Industrials;52;SE;SEK
1145;ENT.L;IM00B5VQMV65;Entain PLC; 5’003’068’870.92 ;Consumer Cyclicals;53;GB;GBp
1146;1812.T;JP3210200006;Kajima Corp; 7’086’464’576.98 ;Industrials;52;JP;JPY
1147;FLR.N;US3434121022;Fluor Corp; 4’529’523’800.20 ;Industrials;52;US;USD
1148;6952.T;JP3209000003;Casio Computer Co Ltd; 3’063’334’589.66 ;Technology;57;JP;JPY
1149;ARW.N;US0427351004;Arrow Electronics Inc; 6’010’519’328.80 ;Technology;57;US;USD
1150;COLR.BR;BE0974256852;Colruyt Group NV; 9’996’961’653.52 ;Consumer Non-Cyclicals;54;BE;EUR
1151;4612.T;JP3749400002;Nippon Paint Holdings Co Ltd; 11’096’618’770.91 ;Basic Materials;51;JP;JPY
1152;8252.T;JP3870400003;Marui Group Co Ltd; 4’326’751’945.05 ;Financials;55;JP;JPY
1153;2587.T;JP3336560002;Suntory Beverage & Food Ltd; 13’900’235’806.28 ;Consumer Non-Cyclicals;54;JP;JPY
1154;3092.T;JP3399310006;ZOZO Inc; 5’681’157’141.71 ;Consumer Cyclicals;53;JP;JPY
1155;PNDORA.CO;DK0060252690;Pandora A/S; 4’473’738’217.58 ;Consumer Cyclicals;53;DK;DKK
1156;ALD.AX;AU0000088338;Ampol Ltd; 4’543’045’531.86 ;Energy;50;AU;AUD
1157;HRB.N;US0936711052;H & R Block Inc; 5’214’240’666.55 ;Consumer Non-Cyclicals;54;US;USD
1158;7936.T;JP3118000003;Asics Corp; 2’546’872’260.07 ;Consumer Cyclicals;53;JP;JPY
1159;5938.T;JP3626800001;LIXIL Corp; 3’870’312’847.43 ;Consumer Cyclicals;53;JP;JPY
1160;ALKS.OQ;IE00B56GVS15;Alkermes Plc; 4’585’346’044.37 ;Healthcare;56;IE;USD
1161;SATG_p.DE;DE0007165631;Sartorius AG; 8’773’093’329.37 ;Healthcare;56;DE;EUR
1162;GENS.SI;SGXE21576413;Genting Singapore Ltd; 8’653’171’023.26 ;Consumer Cyclicals;53;SG;SGD
1163;WSP.TO;CA92938W2022;WSP Global Inc; 4’493’347’420.05 ;Industrials;52;CA;CAD
1164;FBU.NZ;NZFBUE0001S0;Fletcher Building Ltd; 2’797’184’261.06 ;Consumer Cyclicals;53;NZ;NZD
1165;9024.T;JP3417200007;Seibu Holdings Inc; 5’938’934’386.72 ;Industrials;52;JP;JPY
1166;JHX.AX;AU000000JHX1;James Hardie Industries PLC; 4’632’620’027.81 ;Basic Materials;51;IE;AUD
1167;CMLT.SI;SG1M51904654;CapitaLand Integrated Commercial Trust; 6’114’623’248.11 ;Real Estate;60;SG;SGD
1168;LHAG.DE;DE0008232125;Deutsche Lufthansa AG; 10’705’999’603.67 ;Industrials;52;DE;EUR
1169;MWDP.PA;FR0000121204;Wendel SE; 5’557’210’311.38 ;Financials;55;FR;EUR
1170;BSL.AX;AU000000BSL0;BlueScope Steel Ltd; 4’097’668’843.56 ;Basic Materials;51;AU;AUD
1171;9045.T;JP3279400000;Keihan Holdings Co Ltd; 4’593’620’496.33 ;Industrials;52;JP;JPY
1172;9147.T;JP3688370000;Nippon Express Holdings Inc; 5’539’410’386.58 ;Industrials;52;JP;JPY
1173;WG.L;GB00B5N0P849;John Wood Group PLC; 4’401’122’985.51 ;Energy;50;GB;GBp
1174;MAERSKa.CO;DK0010244425;AP Moeller - Maersk A/S; 21’161’273’819.51 ;Industrials;52;DK;DKK
1175;6965.T;JP3771800004;Hamamatsu Photonics KK; 5’529’818’100.49 ;Technology;57;JP;JPY
1176;ISS.CO;DK0060542181;ISS A/S; 5’180’294’034.13 ;Industrials;52;DK;DKK
1177;CLN.S;CH0012142631;Clariant AG; 5’876’462’217.58 ;Basic Materials;51;CH;CHF
1178;LLC.AX;AU000000LLC3;LendLease Group; 4’622’457’124.18 ;Real Estate;60;AU;AUD
1179;1802.T;JP3190000004;Obayashi Corp; 6’504’449’375.33 ;Industrials;52;JP;JPY
1180;7182.T;JP3946750001;Japan Post Bank Co Ltd; 49’383’275’893.34 ;Financials;55;JP;JPY
1181;0019.HK;HK0019000162;Swire Pacific Ltd; 12’550’876’342.52 ;Consumer Non-Cyclicals;54;HK;HKD
1182;IPGP.OQ;US44980X1090;IPG Photonics Corp; 5’997’754’657.03 ;Technology;57;US;USD
1183;MX.TO;CA59151K1084;Methanex Corp; 3’758’146’324.62 ;Basic Materials;51;CA;CAD
1184;SUNT.SI;SG1Q52922370;Suntec Real Estate Investment Trust; 3’488’461’361.11 ;Real Estate;60;SG;SGD
1185;BARN.S;CH0009002962;Barry Callebaut AG; 8’539’215’118.38 ;Consumer Non-Cyclicals;54;CH;CHF
1186;5110.T;JP3404200002;Sumitomo Rubber Industries Ltd; 3’101’360’185.92 ;Consumer Cyclicals;53;JP;JPY
1187;HBI.N;US4103451021;HanesBrands Inc; 4’519’980’818.71 ;Consumer Cyclicals;53;US;USD
1188;9009.T;JP3278600006;Keisei Electric Railway Co Ltd; 5’379’048’460.96 ;Industrials;52;JP;JPY
1189;RXL.PA;FR0010451203;Rexel SA; 2’945’186’713.85 ;Industrials;52;FR;EUR
1190;MLCO.OQ;US5854641009;Melco Resorts & Entertainment Ltd; 8’710’150’014.90 ;Consumer Cyclicals;53;HK;USD
1191;8253.T;JP3271400008;Credit Saison Co Ltd; 2’171’315’079.38 ;Financials;55;JP;JPY
1192;AIA.NZ;NZAIAE0002S6;Auckland International Airport Ltd; 5’823’764’217.12 ;Industrials;52;NZ;NZD
1193;3099.T;JP3894900004;Isetan Mitsukoshi Holdings Ltd; 4’359’116’679.76 ;Consumer Cyclicals;53;JP;JPY
1194;FMG.AX;AU000000FMG4;Fortescue Ltd; 8’368’885’264.12 ;Basic Materials;51;AU;AUD
1195;NWSA.OQ;US65249B1098;News Corp; 6’677’917’376.85 ;Consumer Cyclicals;53;US;USD
1196;9201.T;JP3705200008;Japan Airlines Co Ltd; 12’316’984’143.84 ;Industrials;52;JP;JPY
1197;FLS.N;US34354P1057;Flowserve Corp; 4’975’181’505.14 ;Industrials;52;US;USD
1198;7186.T;JP3305990008;Yokohama Financial Group Inc; 4’840’086’880.37 ;Financials;55;JP;JPY
1199;EQH.N;US29452E1010;Equitable Holdings Inc; 9’296’932’402.35 ;Financials;55;US;USD
1200;XRX.OQ;US98421M1062;Xerox Holdings Corp; 4’708’466’290.32 ;Technology;57;US;USD
1201;PII.N;US7310681025;Polaris Inc; 4’737’336’561.36 ;Consumer Cyclicals;53;US;USD
1202;4042.T;JP3595200001;Tosoh Corp; 4’221’983’756.50 ;Basic Materials;51;JP;JPY
1203;WIX.OQ;IL0011301780;Wix.Com Ltd; 4’451’018’012.84 ;Technology;57;IL;USD
1204;EMA.TO;CA2908761018;Emera Inc; 7’467’263’413.40 ;Utilities;59;CA;CAD
1205;COTY.N;US2220702037;Coty Inc; 4’927’052’642.88 ;Consumer Non-Cyclicals;54;US;USD
1206;RNR.N;BMG7496G1033;Renaissancere Holdings Ltd; 5’383’558’985.70 ;Financials;55;BM;USD
1207;9006.T;JP3280200001;Keikyu Corp; 4’494’301’677.48 ;Industrials;52;JP;JPY
1208;8331.T;JP3511800009;Chiba Bank Ltd; 4’819’789’111.35 ;Financials;55;JP;JPY
1209;9142.T;JP3247010006;Kyushu Railway Co; 5’390’894’249.95 ;Industrials;52;JP;JPY
1210;7211.T;JP3899800001;Mitsubishi Motors Corp; 8’136’677’513.08 ;Consumer Cyclicals;53;JP;JPY
1211;8984.T;JP3046390005;Daiwa House REIT Investment Corp; 4’294’067’658.26 ;Real Estate;60;JP;JPY
1212;BOSSn.DE;DE000A1PHFF7;Hugo Boss AG; 4’341’077’044.47 ;Consumer Cyclicals;53;DE;EUR
1213;7276.T;JP3284600008;Koito Manufacturing Co Ltd; 8’283’003’777.25 ;Consumer Cyclicals;53;JP;JPY
1214;VERB.VI;AT0000746409;Verbund AG; 7’249’868’447.61 ;Utilities;59;AT;EUR
1215;6473.T;JP3292200007;JTEKT Corp; 3’817’059’789.43 ;Consumer Cyclicals;53;JP;JPY
